"Matricula";"Ano";"Turma";"Horario";"Professor";"Codigo_curso";"Curso";"Prova";"Questao";"Acertou";"Nome.questao";"arquivos";"Numero.prova"
120135949;2012;"EA";"18-21";"JHAMES MATOS";"07609";"Outros";19091800517;1;FALSE;"07_distribuicao_geometrica_04.Rnw";"Solucao_EA_10.pdf";1
130046523;2013;"CC";"14-16";"EDUARDO YOSHIO";"01449";"Outros";19091800386;1;TRUE;"05_variaveis_aleatorias_07.Rnw";"Solucao_CC_18.pdf";1
130055450;2013;"BB";"10/dez";"THAIS CARVALHO";"60844";"Engenharia Química";19091800209;1;FALSE;"03_probabilidade_total_05.Rnw";"Solucao_BB_26.pdf";1
130130435;2013;"BA";"10/dez";"JOSE AUGUSTO";"06254";"Engenharia Ambiental";19091800168;1;TRUE;"02_propriedade_probabilidade_07.Rnw";"Solucao_BA_43.pdf";1
130142531;2013;"BA";"10/dez";"JOSE AUGUSTO";"01112";"Administração";19091800136;1;FALSE;"02_propriedade_probabilidade_07.Rnw";"Solucao_BA_11.pdf";1
140022988;2014;"AA";"08/out";"CIRA ETHEOWALDA";"01368";"Outros";19091800043;1;FALSE;"06_distribuicao_binomial_06.Rnw";"Solucao_AA_43.pdf";1
140023861;2014;"DA";"16-18";"LUCAS MOREIRA";"06289";"Outros";19091800438;1;FALSE;"06_distribuicao_binomial_07.Rnw";"Solucao_DA_10.pdf";1
140023992;2014;"BA";"10/dez";"JOSE AUGUSTO";"06254";"Engenharia Ambiental";19091800155;1;TRUE;"02_propriedade_probabilidade_07.Rnw";"Solucao_BA_30.pdf";1
140026291;2014;"CC";"14-16";"EDUARDO YOSHIO";"01449";"Outros";19091800398;1;TRUE;"05_variaveis_aleatorias_07.Rnw";"Solucao_CC_30.pdf";1
140028536;2014;"CC";"14-16";"EDUARDO YOSHIO";"06335";"Engenharia Elétrica";19091800402;1;TRUE;"05_variaveis_aleatorias_07.Rnw";"Solucao_CC_34.pdf";1
140031065;2014;"EA";"18-21";"JHAMES MATOS";"01899";"Outros";19091800548;1;TRUE;"07_distribuicao_geometrica_04.Rnw";"Solucao_EA_41.pdf";1
140137734;2014;"BB";"10/dez";"THAIS CARVALHO";"06254";"Engenharia Ambiental";19091800215;1;TRUE;"03_probabilidade_total_05.Rnw";"Solucao_BB_32.pdf";1
140164634;2014;"CC";"14-16";"EDUARDO YOSHIO";"01341";"Engenharia de Computação";19091800413;1;TRUE;"05_variaveis_aleatorias_07.Rnw";"Solucao_CC_45.pdf";1
140173633;2014;"EA";"18-21";"JHAMES MATOS";"04529";"Outros";19091800544;1;FALSE;"07_distribuicao_geometrica_04.Rnw";"Solucao_EA_37.pdf";1
150005903;2015;"DA";"16-18";"LUCAS MOREIRA";"06289";"Outros";19091800440;1;FALSE;"06_distribuicao_binomial_07.Rnw";"Solucao_DA_12.pdf";1
150007353;2015;"EA";"18-21";"JHAMES MATOS";"01899";"Outros";19091800547;1;TRUE;"07_distribuicao_geometrica_04.Rnw";"Solucao_EA_40.pdf";1
150115318;2015;"BA";"10/dez";"JOSE AUGUSTO";"08150";"Administração";19091800153;1;TRUE;"02_propriedade_probabilidade_07.Rnw";"Solucao_BA_28.pdf";1
150117167;2015;"AB";"08/out";"ROBERTO VILA";"08362";"Outros";19091800117;1;FALSE;"04_teorema_Bayes_10.Rnw";"Solucao_AB_55.pdf";1
150121474;2015;"CC";"14-16";"EDUARDO YOSHIO";"01589";"Outros";19091800395;1;TRUE;"05_variaveis_aleatorias_07.Rnw";"Solucao_CC_27.pdf";1
150131721;2015;"EA";"18-21";"JHAMES MATOS";"06017";"Engenharia De Produção";19091800556;1;FALSE;"07_distribuicao_geometrica_04.Rnw";"Solucao_EA_49.pdf";1
150132701;2015;"CB";"14-16";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800311;1;TRUE;"08_distribuicao_hipergeometrica_03.Rnw";"Solucao_CB_03.pdf";1
150142773;2015;"AA";"08/out";"CIRA ETHEOWALDA";"01589";"Outros";19091800025;1;TRUE;"06_distribuicao_binomial_06.Rnw";"Solucao_AA_25.pdf";1
150147571;2015;"DA";"16-18";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800452;1;TRUE;"06_distribuicao_binomial_07.Rnw";"Solucao_DA_24.pdf";1
160007640;2016;"AA";"08/out";"CIRA ETHEOWALDA";"03221";"Ciências Econômicas";19091800019;1;FALSE;"06_distribuicao_binomial_06.Rnw";"Solucao_AA_19.pdf";1
