"","tema","questao","a","b","c","prova","Prob","n","% acerto"
"1","medida probabilidade","01",0.581,1.699,0.159,"Prova 1",0.300264267570893,53,26.4150943396226
"2","medida probabilidade","02",1.215,0.776,0.192,"Prova 1",0.455547202283008,97,46.3917525773196
"3","medida probabilidade","03",NA,NA,NA,"Prova 1",NA,NA,NA
"4","medida probabilidade","04",NA,NA,NA,"Prova 1",NA,NA,NA
"5","medida probabilidade","05",0.973,1.498,0.147,"Prova 1",0.312436938263749,56,30.3571428571429
"6","medida probabilidade","06",1.186,-0.493,0.232,"Prova 1",0.70876352048175,53,69.811320754717
"7","medida probabilidade","07",0.921,0.85,0.208,"Prova 1",0.457809418359617,43,46.5116279069767
"8","medida probabilidade","08",NA,NA,NA,"Prova 1",NA,NA,NA
"9","medida probabilidade","09",0.617,-0.227,0.246,"Prova 1",0.670019395164189,107,66.3551401869159
"10","medida probabilidade","10",1.356,0.266,0.215,"Prova 1",0.562349587744721,79,55.6962025316456
"11","propriedade probabilidade","01",1.264,0.95,0.179,"Prova 1",0.418757928837237,54,42.5925925925926
"12","propriedade probabilidade","02",NA,NA,NA,"Prova 1",NA,NA,NA
"13","propriedade probabilidade","03",NA,NA,NA,"Prova 1",NA,NA,NA
"14","propriedade probabilidade","04",1.739,-1.283,0.232,"Prova 1",0.829528906641787,106,76.4150943396226
"15","propriedade probabilidade","05",0.875,1.395,0.141,"Prova 1",0.319540082608479,105,32.3809523809524
"16","propriedade probabilidade","06",NA,NA,NA,"Prova 1",NA,NA,NA
"17","propriedade probabilidade","07",0.634,0.642,0.222,"Prova 1",0.502289089436686,69,49.2753623188406
"18","propriedade probabilidade","08",1.745,0.479,0.177,"Prova 1",0.499171586234543,55,49.0909090909091
"19","propriedade probabilidade","09",0.943,-0.601,0.254,"Prova 1",0.736041420455194,56,75
"20","propriedade probabilidade","10",0.691,-1.267,0.253,"Prova 1",0.830701698954404,43,86.046511627907
"21","probabilidade total","01",1.463,-1.033,0.238,"Prova 1",0.796541600269695,67,77.6119402985075
"22","probabilidade total","02",NA,NA,NA,"Prova 1",NA,NA,NA
"23","probabilidade total","03",1.139,-1.433,0.244,"Prova 1",0.852659166538148,153,82.3529411764706
